class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
p;15.26;x;g;o;f;e;;w;16.95;17.wrz;s;y;w;u;w;t;g;;d;w
p;16.cze;x;g;o;f;e;;w;17.99;18.19;s;y;w;u;w;t;g;;d;u
p;14.lip;x;g;o;f;e;;w;17.sie;17.74;s;y;w;u;w;t;g;;d;w
p;14.17;f;h;e;f;e;;w;15.77;15.98;s;y;w;u;w;t;p;;d;w
p;14.64;x;h;o;f;e;;w;16.53;17.lut;s;y;w;u;w;t;p;;d;w
p;15.34;x;g;o;f;e;;w;17.84;18.79;s;y;w;u;w;t;p;;d;u
p;14.85;f;h;o;f;e;;w;17.71;16.89;s;y;w;u;w;t;g;;d;w
p;14.86;x;h;e;f;e;;w;17.mar;17.44;s;y;w;u;w;t;p;;d;u
p;gru.85;f;g;o;f;e;;w;17.27;18.69;s;y;w;u;w;t;p;;d;a
p;13.55;f;g;e;f;e;;w;16.kwi;16.88;s;y;w;u;w;t;p;;d;w
p;14.17;f;h;e;f;e;;w;17.86;18.lut;s;y;w;u;w;t;p;;d;a
p;13.kwi;x;h;o;f;e;;w;17.95;17.14;s;y;w;u;w;t;p;;d;u
p;17.37;x;h;o;f;e;;w;18.sty;18.27;s;y;w;u;w;t;g;;d;u
p;16.56;x;h;o;f;e;;w;18.89;18.lis;s;y;w;u;w;t;p;;d;u
p;15.37;x;h;e;f;e;;w;18.19;18.38;s;y;w;u;w;t;g;;d;a
p;15.54;f;h;e;f;e;;w;18.26;17.87;s;y;w;u;w;t;p;;d;a
p;15.19;x;g;e;f;e;;w;17.42;17.67;s;y;w;u;w;t;p;;d;a
p;17.kwi;x;h;o;f;e;;w;18.48;18.54;s;y;w;u;w;t;p;;d;a
p;16.16;x;g;o;f;e;;w;19.46;18.wrz;s;y;w;u;w;t;p;;d;w
p;16.93;x;h;e;f;e;;w;18.31;17.81;s;y;w;u;w;t;p;;d;u
p;13.0;f;g;e;f;e;;w;17.mar;17.19;s;y;w;u;w;t;g;;d;w
p;13.cze;x;g;e;f;e;;w;16.wrz;17.38;s;y;w;u;w;t;g;;d;u
p;17.23;x;h;o;f;e;;w;17.63;17.92;s;y;w;u;w;t;g;;d;w
p;14.39;x;g;e;f;e;;w;16.98;17.48;s;y;w;u;w;t;p;;d;w
p;15.56;f;g;o;f;e;;w;17.28;16.99;s;y;w;u;w;t;p;;d;u
p;13.lut;x;g;o;f;e;;w;16.91;16.wrz;s;y;w;u;w;t;p;;d;w
p;13.wrz;f;h;e;f;e;;w;17.81;17.77;s;y;w;u;w;t;g;;d;u
p;16.38;f;g;o;f;e;;w;18.36;17.99;s;y;w;u;w;t;p;;d;u
p;13.mar;x;h;e;f;e;;w;17.cze;17.52;s;y;w;u;w;t;p;;d;a
p;15.95;f;g;o;f;e;;w;16.42;16.65;s;y;w;u;w;t;g;;d;w
p;16.58;x;g;o;f;e;;w;18.26;18.gru;s;y;w;u;w;t;g;;d;a
p;14.sty;f;g;o;f;e;;w;16.94;16.76;s;y;w;u;w;t;p;;d;u
p;13.81;f;h;o;f;e;;w;17.22;17.lis;s;y;w;u;w;t;g;;d;a
p;14.67;f;h;o;f;e;;w;17.lut;16.77;s;y;w;u;w;t;p;;d;a
p;14.23;f;h;e;f;e;;w;17.22;17.23;s;y;w;u;w;t;p;;d;u
p;14.78;f;g;e;f;e;;w;17.44;17.13;s;y;w;u;w;t;p;;d;u
p;15.sie;x;g;e;f;e;;w;17.wrz;17.sie;s;y;w;u;w;t;g;;d;w
p;16.0;x;g;e;f;e;;w;16.96;17.22;s;y;w;u;w;t;g;;d;u
p;14.76;f;g;o;f;e;;w;18.14;17.54;s;y;w;u;w;t;p;;d;a
p;14.89;x;g;e;f;e;;w;17.78;18.lip;s;y;w;u;w;t;g;;d;w
p;13.maj;f;g;e;f;e;;w;17.32;17.17;s;y;w;u;w;t;p;;d;w
p;13.mar;f;h;e;f;e;;w;17.maj;17.lip;s;y;w;u;w;t;p;;d;w
p;14.lip;f;g;o;f;e;;w;16.98;17.76;s;y;w;u;w;t;p;;d;w
p;15.wrz;f;g;o;f;e;;w;17.45;18.15;s;y;w;u;w;t;g;;d;a
p;gru.22;f;h;o;f;e;;w;18.19;17.62;s;y;w;u;w;t;g;;d;w
p;15.gru;x;g;e;f;e;;w;17.mar;17.lut;s;y;w;u;w;t;g;;d;a
p;18.kwi;f;g;e;f;e;;w;18.86;19.79;s;y;w;u;w;t;g;;d;w
p;gru.27;f;g;o;f;e;;w;16.15;17.17;s;y;w;u;w;t;g;;d;w
p;16.mar;f;g;o;f;e;;w;19.34;19.37;s;y;w;u;w;t;g;;d;u
p;16.51;x;g;o;f;e;;w;18.38;18.29;s;y;w;u;w;t;g;;d;w
p;14.96;f;h;o;f;e;;w;18.26;18.28;s;y;w;u;w;t;p;;d;w
p;15.wrz;f;h;e;f;e;;w;17.34;17.54;s;y;w;u;w;t;g;;d;w
p;15.48;x;g;e;f;e;;w;19.22;18.14;s;y;w;u;w;t;p;;d;u
p;15.63;f;h;o;f;e;;w;17.72;16.82;s;y;w;u;w;t;g;;d;a
p;14.sie;x;g;o;f;e;;w;17.94;17.42;s;y;w;u;w;t;g;;d;w
p;16.0;x;h;o;f;e;;w;17.67;17.96;s;y;w;u;w;t;g;;d;w
p;15.lip;f;h;o;f;e;;w;16.97;17.51;s;y;w;u;w;t;g;;d;u
p;13.gru;x;h;e;f;e;;w;17.96;17.89;s;y;w;u;w;t;p;;d;a
p;13.82;f;h;o;f;e;;w;16.86;17.14;s;y;w;u;w;t;p;;d;u
p;17.23;x;h;e;f;e;;w;18.51;18.59;s;y;w;u;w;t;g;;d;u
p;gru.57;x;g;o;f;e;;w;16.62;15.lip;s;y;w;u;w;t;p;;d;a
p;14.85;x;h;o;f;e;;w;17.36;16.46;s;y;w;u;w;t;g;;d;a
p;gru.55;x;g;e;f;e;;w;16.97;17.39;s;y;w;u;w;t;g;;d;u
p;13.53;x;g;e;f;e;;w;16.65;16.91;s;y;w;u;w;t;g;;d;a
p;16.84;x;h;e;f;e;;w;17.mar;17.27;s;y;w;u;w;t;p;;d;w
p;15.73;x;h;o;f;e;;w;17.58;17.59;s;y;w;u;w;t;p;;d;u
p;lis.46;x;h;o;f;e;;w;17.56;18.39;s;y;w;u;w;t;g;;d;w
p;15.cze;f;g;o;f;e;;w;15.77;16.sty;s;y;w;u;w;t;p;;d;w
p;16.15;x;h;e;f;e;;w;18.25;17.67;s;y;w;u;w;t;p;;d;a
